,no-0,no-1,experiment,g1,g2,exact_distance,BRANCH,BRANCH_FAST,BRANCH_TIGHT,BRANCH_UNIFORM,BRANCH_COMPACT,PARTITION,HYBRID,RING,ANCHOR_AWARE_GED,WALKS,IPFP,BIPARTITE,SUBGRAPH,NODE,RING_ML,BIPARTITE_ML,REFINE,BP_BEAM,SIMULATED_ANNEALING,HED,STAR,v
23,23,23,69,Graph with 4 nodes and 6 edges,Graph with 4 nodes and 4 edges,2.0,"(2.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(2.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(2.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(2.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(inf, [])","(inf, [])","(inf, [])","(2.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(2.0, [(0, 1), (1, 0), (2, 3), (3, 2)])","(2.0, [(0, 0), (1, 2), (2, 3), (3, 1)])","(2.0, [(0, 0), (1, 2), (2, 3), (3, 1)])","(2.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(2.0, [(0, 3), (1, 0), (2, 1), (3, 2)])","(2.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(2.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(2.0, [(0, 3), (1, 2), (2, 0), (3, 1)])","(2.0, [(0, 2), (1, 3), (2, 0), (3, 1)])","(2.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(2.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(inf, [])","(2.0, [(0, 0), (1, 2), (2, 3), (3, 1)])",4
24,24,24,72,Graph with 4 nodes and 6 edges,Graph with 4 nodes and 6 edges,0.0,"(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(inf, [])","(inf, [])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 3), (1, 0), (2, 2), (3, 1)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 1), (1, 3), (2, 2), (3, 0)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 1), (1, 3), (2, 2), (3, 0)])","(0.0, [(0, 2), (1, 0), (2, 1), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])",4
25,25,25,75,Graph with 5 nodes and 3 edges,Graph with 5 nodes and 3 edges,0.0,"(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(inf, [])","(inf, [])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(2.0, [(0, 2), (1, 3), (2, 0), (3, 4), (4, 1)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(2.0, [(0, 2), (1, 3), (2, 0), (3, 1), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])",5
26,26,26,78,Graph with 5 nodes and 3 edges,Graph with 5 nodes and 4 edges,1.0,"(5.0, [(0, 1), (1, 0), (2, 2), (3, 3), (4, 4)])","(5.0, [(0, 1), (1, 0), (2, 2), (3, 3), (4, 4)])","(1.0, [(0, 4), (1, 2), (2, 0), (3, 3), (4, 1)])","(5.0, [(0, 1), (1, 0), (2, 2), (3, 3), (4, 4)])","(inf, [])","(inf, [])","(inf, [])","(7.0, [(0, 1), (1, 0), (2, 3), (3, 4), (4, 2)])","(3.0, [(0, 0), (1, 3), (2, 1), (3, 4), (4, 2)])","(5.0, [(0, 1), (1, 0), (2, 2), (3, 3), (4, 4)])","(3.0, [(0, 0), (1, 1), (2, 4), (3, 2), (4, 3)])","(5.0, [(0, 1), (1, 0), (2, 2), (3, 3), (4, 4)])","(3.0, [(0, 4), (1, 2), (2, 1), (3, 3), (4, 0)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(3.0, [(0, 3), (1, 0), (2, 4), (3, 1), (4, 2)])","(7.0, [(0, 0), (1, 1), (2, 3), (3, 4), (4, 2)])","(1.0, [(0, 3), (1, 1), (2, 2), (3, 4), (4, 0)])","(3.0, [(0, 1), (1, 3), (2, 4), (3, 2), (4, 0)])","(1.0, [(0, 4), (1, 1), (2, 0), (3, 3), (4, 2)])","(inf, [])","(5.0, [(0, 1), (1, 0), (2, 2), (3, 3), (4, 4)])",5
27,27,27,81,Graph with 5 nodes and 3 edges,Graph with 5 nodes and 5 edges,2.0,"(6.0, [(0, 0), (1, 1), (2, 3), (3, 2), (4, 4)])","(6.0, [(0, 0), (1, 1), (2, 3), (3, 2), (4, 4)])","(6.0, [(0, 0), (1, 1), (2, 3), (3, 2), (4, 4)])","(6.0, [(0, 0), (1, 1), (2, 3), (3, 2), (4, 4)])","(inf, [])","(inf, [])","(inf, [])","(4.0, [(0, 4), (1, 0), (2, 1), (3, 3), (4, 2)])","(4.0, [(0, 1), (1, 4), (2, 0), (3, 3), (4, 2)])","(6.0, [(0, 0), (1, 1), (2, 3), (3, 2), (4, 4)])","(4.0, [(0, 3), (1, 1), (2, 4), (3, 2), (4, 0)])","(6.0, [(0, 0), (1, 1), (2, 3), (3, 2), (4, 4)])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(6.0, [(0, 1), (1, 0), (2, 3), (3, 4), (4, 2)])","(4.0, [(0, 4), (1, 2), (2, 0), (3, 3), (4, 1)])","(2.0, [(0, 0), (1, 3), (2, 2), (3, 1), (4, 4)])","(2.0, [(0, 2), (1, 1), (2, 3), (3, 0), (4, 4)])","(2.0, [(0, 2), (1, 4), (2, 0), (3, 3), (4, 1)])","(inf, [])","(6.0, [(0, 0), (1, 1), (2, 3), (3, 2), (4, 4)])",5
28,28,28,84,Graph with 5 nodes and 3 edges,Graph with 5 nodes and 10 edges,7.0,"(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(inf, [])","(inf, [])","(inf, [])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(7.0, [(0, 0), (1, 2), (2, 4), (3, 3), (4, 1)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(7.0, [(0, 1), (1, 2), (2, 4), (3, 0), (4, 3)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(7.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 0)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 4), (4, 3)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(inf, [])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])",5
29,29,29,87,Graph with 5 nodes and 4 edges,Graph with 5 nodes and 3 edges,1.0,"(5.0, [(0, 1), (1, 0), (2, 2), (3, 3), (4, 4)])","(5.0, [(0, 1), (1, 0), (2, 2), (3, 3), (4, 4)])","(5.0, [(0, 1), (1, 0), (2, 2), (3, 3), (4, 4)])","(5.0, [(0, 1), (1, 0), (2, 2), (3, 3), (4, 4)])","(inf, [])","(inf, [])","(inf, [])","(3.0, [(0, 2), (1, 0), (2, 3), (3, 1), (4, 4)])","(1.0, [(0, 4), (1, 1), (2, 2), (3, 0), (4, 3)])","(5.0, [(0, 1), (1, 0), (2, 2), (3, 3), (4, 4)])","(1.0, [(0, 1), (1, 4), (2, 3), (3, 0), (4, 2)])","(5.0, [(0, 1), (1, 0), (2, 2), (3, 3), (4, 4)])","(5.0, [(0, 1), (1, 4), (2, 2), (3, 3), (4, 0)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(3.0, [(0, 0), (1, 4), (2, 2), (3, 1), (4, 3)])","(5.0, [(0, 1), (1, 0), (2, 2), (3, 3), (4, 4)])","(1.0, [(0, 3), (1, 4), (2, 1), (3, 2), (4, 0)])","(1.0, [(0, 1), (1, 4), (2, 3), (3, 0), (4, 2)])","(1.0, [(0, 2), (1, 4), (2, 1), (3, 3), (4, 0)])","(inf, [])","(5.0, [(0, 1), (1, 0), (2, 2), (3, 3), (4, 4)])",5
30,30,30,90,Graph with 5 nodes and 4 edges,Graph with 5 nodes and 4 edges,0.0,"(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(inf, [])","(inf, [])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(4.0, [(0, 4), (1, 3), (2, 0), (3, 2), (4, 1)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 2), (1, 1), (2, 0), (3, 4), (4, 3)])","(2.0, [(0, 0), (1, 4), (2, 3), (3, 2), (4, 1)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])",5
31,31,31,93,Graph with 5 nodes and 4 edges,Graph with 5 nodes and 5 edges,1.0,"(3.0, [(0, 1), (1, 0), (2, 3), (3, 2), (4, 4)])","(3.0, [(0, 1), (1, 0), (2, 3), (3, 2), (4, 4)])","(3.0, [(0, 1), (1, 0), (2, 3), (3, 2), (4, 4)])","(3.0, [(0, 1), (1, 0), (2, 3), (3, 2), (4, 4)])","(inf, [])","(inf, [])","(inf, [])","(1.0, [(0, 1), (1, 4), (2, 3), (3, 2), (4, 0)])","(3.0, [(0, 1), (1, 0), (2, 3), (3, 2), (4, 4)])","(3.0, [(0, 1), (1, 0), (2, 3), (3, 2), (4, 4)])","(3.0, [(0, 4), (1, 0), (2, 1), (3, 2), (4, 3)])","(3.0, [(0, 1), (1, 0), (2, 3), (3, 2), (4, 4)])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(3.0, [(0, 0), (1, 4), (2, 1), (3, 3), (4, 2)])","(3.0, [(0, 1), (1, 0), (2, 3), (3, 2), (4, 4)])","(1.0, [(0, 3), (1, 4), (2, 1), (3, 0), (4, 2)])","(1.0, [(0, 3), (1, 4), (2, 1), (3, 0), (4, 2)])","(1.0, [(0, 3), (1, 4), (2, 1), (3, 0), (4, 2)])","(inf, [])","(3.0, [(0, 1), (1, 0), (2, 3), (3, 2), (4, 4)])",5
32,32,32,96,Graph with 5 nodes and 4 edges,Graph with 5 nodes and 10 edges,6.0,"(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(inf, [])","(inf, [])","(inf, [])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(6.0, [(0, 4), (1, 1), (2, 2), (3, 3), (4, 0)])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(6.0, [(0, 1), (1, 4), (2, 2), (3, 3), (4, 0)])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(6.0, [(0, 0), (1, 2), (2, 3), (3, 4), (4, 1)])","(6.0, [(0, 1), (1, 0), (2, 2), (3, 3), (4, 4)])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(inf, [])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])",5
33,33,33,99,Graph with 5 nodes and 5 edges,Graph with 5 nodes and 3 edges,2.0,"(6.0, [(0, 0), (1, 1), (2, 3), (3, 2), (4, 4)])","(6.0, [(0, 0), (1, 1), (2, 3), (3, 2), (4, 4)])","(6.0, [(0, 0), (1, 1), (2, 3), (3, 2), (4, 4)])","(6.0, [(0, 0), (1, 1), (2, 3), (3, 2), (4, 4)])","(inf, [])","(inf, [])","(inf, [])","(4.0, [(0, 1), (1, 2), (2, 4), (3, 3), (4, 0)])","(2.0, [(0, 2), (1, 1), (2, 0), (3, 3), (4, 4)])","(6.0, [(0, 0), (1, 1), (2, 3), (3, 2), (4, 4)])","(2.0, [(0, 2), (1, 1), (2, 0), (3, 3), (4, 4)])","(6.0, [(0, 0), (1, 1), (2, 3), (3, 2), (4, 4)])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(6.0, [(0, 2), (1, 0), (2, 3), (3, 1), (4, 4)])","(6.0, [(0, 4), (1, 1), (2, 3), (3, 2), (4, 0)])","(2.0, [(0, 0), (1, 2), (2, 3), (3, 4), (4, 1)])","(2.0, [(0, 3), (1, 1), (2, 0), (3, 2), (4, 4)])","(2.0, [(0, 0), (1, 3), (2, 2), (3, 4), (4, 1)])","(inf, [])","(6.0, [(0, 0), (1, 1), (2, 3), (3, 2), (4, 4)])",5
34,34,34,102,Graph with 5 nodes and 5 edges,Graph with 5 nodes and 4 edges,1.0,"(3.0, [(0, 1), (1, 0), (2, 3), (3, 2), (4, 4)])","(3.0, [(0, 1), (1, 0), (2, 3), (3, 2), (4, 4)])","(3.0, [(0, 1), (1, 0), (2, 3), (3, 2), (4, 4)])","(3.0, [(0, 1), (1, 0), (2, 3), (3, 2), (4, 4)])","(inf, [])","(inf, [])","(inf, [])","(1.0, [(0, 4), (1, 0), (2, 3), (3, 2), (4, 1)])","(3.0, [(0, 0), (1, 4), (2, 1), (3, 2), (4, 3)])","(3.0, [(0, 1), (1, 0), (2, 3), (3, 2), (4, 4)])","(3.0, [(0, 1), (1, 0), (2, 3), (3, 4), (4, 2)])","(3.0, [(0, 1), (1, 0), (2, 3), (3, 2), (4, 4)])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(25.0, [(0, 18446744073709551614), (1, 1), (2, 18446744073709551614), (3, 2), (4, 0), (18446744073709551614, 3), (18446744073709551614, 4)])","(1.0, [(0, 3), (1, 2), (2, 4), (3, 0), (4, 1)])","(1.0, [(0, 4), (1, 0), (2, 3), (3, 2), (4, 1)])","(1.0, [(0, 3), (1, 2), (2, 4), (3, 0), (4, 1)])","(inf, [])","(3.0, [(0, 1), (1, 0), (2, 3), (3, 2), (4, 4)])",5
35,35,35,105,Graph with 5 nodes and 5 edges,Graph with 5 nodes and 5 edges,0.0,"(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(inf, [])","(inf, [])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(4.0, [(0, 2), (1, 1), (2, 0), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(8.0, [(0, 4), (1, 0), (2, 1), (3, 2), (4, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 2), (1, 3), (2, 0), (3, 1), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])",5
36,36,36,108,Graph with 5 nodes and 5 edges,Graph with 5 nodes and 10 edges,5.0,"(5.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(inf, [])","(inf, [])","(inf, [])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(5.0, [(0, 2), (1, 4), (2, 3), (3, 0), (4, 1)])","(5.0, [(0, 0), (1, 4), (2, 1), (3, 3), (4, 2)])","(5.0, [(0, 3), (1, 1), (2, 0), (3, 4), (4, 2)])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(5.0, [(0, 0), (1, 1), (2, 3), (3, 2), (4, 4)])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(5.0, [(0, 2), (1, 3), (2, 4), (3, 0), (4, 1)])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 4), (4, 3)])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(inf, [])","(5.0, [(0, 0), (1, 4), (2, 1), (3, 3), (4, 2)])",5
37,37,37,111,Graph with 5 nodes and 10 edges,Graph with 5 nodes and 3 edges,7.0,"(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(inf, [])","(inf, [])","(inf, [])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(7.0, [(0, 2), (1, 4), (2, 3), (3, 1), (4, 0)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(7.0, [(0, 4), (1, 0), (2, 1), (3, 3), (4, 2)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(7.0, [(0, 0), (1, 2), (2, 3), (3, 1), (4, 4)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(7.0, [(0, 3), (1, 4), (2, 2), (3, 1), (4, 0)])","(7.0, [(0, 3), (1, 1), (2, 2), (3, 4), (4, 0)])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(inf, [])","(7.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])",5
38,38,38,114,Graph with 5 nodes and 10 edges,Graph with 5 nodes and 4 edges,6.0,"(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(inf, [])","(inf, [])","(inf, [])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(6.0, [(0, 1), (1, 2), (2, 4), (3, 3), (4, 0)])","(6.0, [(0, 1), (1, 3), (2, 4), (3, 0), (4, 2)])","(6.0, [(0, 3), (1, 4), (2, 2), (3, 0), (4, 1)])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(6.0, [(0, 1), (1, 3), (2, 4), (3, 0), (4, 2)])","(6.0, [(0, 0), (1, 2), (2, 1), (3, 3), (4, 4)])","(6.0, [(0, 4), (1, 2), (2, 1), (3, 0), (4, 3)])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 4), (4, 3)])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(inf, [])","(6.0, [(0, 1), (1, 3), (2, 4), (3, 0), (4, 2)])",5
39,39,39,117,Graph with 5 nodes and 10 edges,Graph with 5 nodes and 5 edges,5.0,"(5.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(inf, [])","(inf, [])","(inf, [])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(5.0, [(0, 0), (1, 4), (2, 3), (3, 1), (4, 2)])","(5.0, [(0, 0), (1, 2), (2, 4), (3, 3), (4, 1)])","(5.0, [(0, 3), (1, 1), (2, 0), (3, 2), (4, 4)])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(5.0, [(0, 0), (1, 2), (2, 1), (3, 3), (4, 4)])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(5.0, [(0, 4), (1, 2), (2, 0), (3, 3), (4, 1)])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(5.0, [(0, 0), (1, 2), (2, 4), (3, 1), (4, 3)])","(5.0, [(0, 3), (1, 2), (2, 0), (3, 4), (4, 1)])","(5.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(inf, [])","(5.0, [(0, 0), (1, 2), (2, 4), (3, 3), (4, 1)])",5
40,40,40,120,Graph with 5 nodes and 10 edges,Graph with 5 nodes and 10 edges,0.0,"(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(inf, [])","(inf, [])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 4), (1, 0), (2, 2), (3, 1), (4, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 1), (1, 3), (2, 2), (3, 0), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 2), (1, 0), (2, 1), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(0.0, [(0, 3), (1, 4), (2, 1), (3, 0), (4, 2)])","(0.0, [(0, 2), (1, 4), (2, 1), (3, 0), (4, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)])",5
41,41,41,123,Graph with 6 nodes and 4 edges,Graph with 6 nodes and 4 edges,0.0,"(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(inf, [])","(inf, [])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(4.0, [(0, 4), (1, 5), (2, 2), (3, 3), (4, 0), (5, 1)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(4.0, [(0, 3), (1, 4), (2, 1), (3, 0), (4, 2), (5, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(6.0, [(0, 5), (1, 1), (2, 2), (3, 4), (4, 3), (5, 0)])","(2.0, [(0, 0), (1, 4), (2, 1), (3, 2), (4, 3), (5, 5)])","(2.0, [(0, 3), (1, 2), (2, 5), (3, 4), (4, 0), (5, 1)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])",6
